nama,alamat
SMP Negeri 139 Jakarta,"Jl. Bunga Rampai X, Malaka Jaya, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 14 Jakarta,"Jl. Matraman Raya No. 177, Bali Mester, Kec. Jatinegara, Kota Jakarta Timur"
SMP Negeri 148 Jakarta,"Jl. Janur Kuning XI, Pondok Kelapa, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 150 Jakarta,"Jl. Batu Tumbuh VII, Kramat Jati, Kec. Kramat Jati, Kota Jakarta Timur"
SMP Negeri 158 Jakarta,"Jl. TB. Badarudin, Jatinegara Kaum, Kec. Pulo Gadung, Kota Jakarta Timur"
SMP Negeri 165 Jakarta,"Jl. Komplek Billy & Moon, Pondok Kelapa, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 168 Jakarta,"Jl. RT 004/RW 003, Cakung Barat, Kec. Cakung, Kota Jakarta Timur"
SMP Negeri 172 Jakarta,"Jl. Raya Stasiun Cakung, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur"
SMP Negeri 18 Jakarta,"Jl. Menteng Kecil No. 3, RT 012/RW 009, Kebon Sirih, Kec. Menteng, Kota Jakarta Pusat"
SMP Negeri 194 Jakarta,"Jl. Sunset (Komplek Kodam Kalimalang), RT 010/RW 007, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 195 Jakarta,"Jl. Sawah Barat Dalam No. 48, RT 016/RW 006, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 198 Jakarta,"Jl. Pertanian Raya, RT 006/RW 001, Klender, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 199 Jakarta,"Jl. Arabika VIII, Pondok Kopi, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 2 Gumukmas,"Jl. Mahakam No. 20, Tembokrejo, Kec. Gumukmas"
SMP Negeri 2 Jakarta,"Jl. Dr. Muwardi I No. 44, Grogol, Kec. Grogol Petamburan, Kota Jakarta Barat"
SMP Negeri 20 Bekasi,"Jl. Jalan Felesia I, Komplek Jatibening II, Jatibening Baru, Kec. Pondok Gede"
SMP Negeri 20 Jakarta,"Jl. Komplek Bulak Rantai, Kampung Tengah, Kec. Kramat Jati, Kota Jakarta Timur"
SMP Negeri 202 Jakarta,"Jl. Buluh Perindu IV No. 29, RT 016/RW 006, Pondok Bambu, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 213 Jakarta,"Jl. Malaka Selatan No. 27, Malaka Jaya, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 216 Jakarta,"Jl. Salemba Raya No. 18, Kenari, Kec. Senen, Kota Jakarta Pusat"
SMP Negeri 22 Bekasi,"Jl. Al-Husna, Jaticempaka, Kec. Pondok Gede, Kota Bekasi"
SMP Negeri 232 Jakarta,"Jl. Gading Raya No. 16, Pisangan Timur, Kec. Pulo Gadung, Kota Jakarta Timur"
SMP Negeri 233 Jakarta,"Jl. Abdulrahman No. 68, RT 014/RW 001, Cibubur, Kec. Ciracas, Kota Jakarta Timur"
